date,close,volume
2015-12-01,104.37999725341797,4986600
2016-01-01,101.56999969482422,6573000
2016-02-01,105.0999984741211,3903400
2016-03-01,117.05999755859375,4460000
2016-04-01,123.43000030517578,3764900
2016-05-01,119.44000244140625,3870700
2016-06-01,124.66000366210938,3260100
2016-07-01,120.38999938964844,2245200
2016-08-01,120.08999633789062,2979300
2016-09-01,126.48999786376953,2362800
2016-10-01,125.4800033569336,2430600
2016-11-01,132.3800048828125,2213900
2016-12-01,132.49000549316406,2225200
2017-01-01,125.83000183105469,1609700
2017-02-01,118.69000244140625,1548400
2017-03-01,119.80000305175781,3204700
2017-04-01,116.1500015258789,1896600
2017-05-01,112.76000213623047,2568300
2017-06-01,109.41000366210938,3168400
2017-07-01,112.44999694824219,1879700
2017-08-01,121.55000305175781,2456900
2017-09-01,129.6999969482422,3424900
2017-10-01,136.6999969482422,2671100
2017-11-01,136.83999633789062,2156100
2017-12-01,143.55999755859375,1700100
2018-01-01,157.1999969482422,2920100
2018-02-01,142.5,3096600
2018-03-01,147.8699951171875,2999500
2018-04-01,169.00999450683594,3483000
2018-05-01,169.1699981689453,4194700
2018-06-01,171.24000549316406,2855200
2018-07-01,168.0,2141500
2018-08-01,177.7100067138672,1892400
2018-09-01,197.5399932861328,2655200
2018-10-01,169.25,2732400
2018-11-01,168.42999267578125,2222300
2018-12-01,152.4499969482422,2314600
2019-01-01,167.2899932861328,2573300
2019-02-01,173.7100067138672,1531100
2019-03-01,185.75999450683594,1847800
2019-04-01,181.67999267578125,1628400
2019-05-01,162.3699951171875,1671300
2019-06-01,170.35000610351562,1645900
2019-07-01,165.3300018310547,1498400
2019-08-01,148.24000549316406,2336500
2019-09-01,152.25,2243300
2019-10-01,148.5399932861328,1765500
2019-11-01,145.22000122070312,1441800
2019-12-01,166.6699981689453,1668400
2020-01-01,151.0,3301500
2020-02-01,138.3300018310547,2880800
2020-03-01,103.47000122070312,5711300
2020-04-01,112.37000274658203,3830900
2020-05-01,114.12000274658203,3007800
2020-06-01,112.83999633789062,2591400
2020-07-01,105.6500015258789,2933600
2020-08-01,113.16000366210938,2558200
2020-09-01,96.05000305175781,2773300
2020-10-01,92.12000274658203,2663600
2020-11-01,104.5199966430664,918700
2020-11-10,109.5999984741211,117117
